,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Доп. объявление группы,Тип объявления,Мобильное объявление,ID группы,Название группы,Номер группы,"Статус ""Мало показов""",ID фразы,Фраза (с минус-словами),Фраза (с минус-словами),Заголовок 1,Заголовок 2,Текст,Длина,,,Ссылка,Отображаемая ссылка,Регион,Организация Яндекс.Справочника,Ставка,Ставка в сетях,Контакты,Статус объявления ,Статус фразы,Заголовки быстрых ссылок,Описания быстрых ссылок,Адреса быстрых ссылок,Турбо-страницы быстрых ссылок,Параметр 1,Параметр 2,Метки,Изображение,Креатив,Статус модерации креатива,Турбо-страница,Уточнения,Минус-фразы на группу,Возрастные ограничения,Реклама мобильных приложений: настройки на группу,,,,Реклама мобильных приложений: настройки на объявление,,,,
-,Текстово-графическое,-,40349127,Группа №40349127,3,-,369103632,решение проблем управления компанией,40351963,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"11,69","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349127,Группа №40349127,3,-,369103629,проблемы управления предприятием -решение,40351963,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"12,71","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349127,Группа №40349127,3,-,369103633,решение проблем управления предприятием,40351963,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"12,71","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349127,Группа №40349127,3,-,369103628,решение проблем управления организацией,40351963,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"12,71","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349127,Группа №40349127,3,-,369103631,проблемы управления организацией -решение,40351963,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"12,71","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349127,Группа №40349127,3,-,369103630,проблемы управления компанией -решение,40351963,Эффективное управление компанией,,Искусственный Управленческий Интеллект - современная система управления.,32,,71,http://www.ami-system.ru,,"Россия, -Республика Крым",,"11,69","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103635,система управления организацией,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,51","0,30",-,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103639,система управления предприятием,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"4,83","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103634,система управления компанией,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"11,44","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103638,система управления бизнесом,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"5,08","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103637,управление бизнесом -система,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"15,00","0,30",-,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103641,современная система управления,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,51","0,30",-,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103642,управление организацией -система -проблема,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"0,30","0,30",-,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103636,управление компанией -система -проблема,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"13,22","0,30",-,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,40349128,Группа №40349128,4,-,369103640,управление предприятием -система -проблема,40351964,система управления предприятием,,Искусственный Управленческий Интеллект - новая система управления компанией,31,,75,http://ami-system.ru/,,"Россия, -Республика Крым",,"1,53","0,30",-,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340835,подбор персонала,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"81,61","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340839,подбор кадров,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"13,73","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340842,кадровые агентства москвы,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"11,69","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340828,кадровое агентство подбор,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"11,69","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340829,нанять менеджера,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340840,агентство +по подбору персонала -кадровый,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"10,93","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340838,кадровые агентства +по подбору персонала,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340826,нанять бухгалтера,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,576404378,нанять сотрудника,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"14,75","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,558340833,нанять +на работу,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"15,51","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468392,Группа №68468392,5,-,576404377,Тор и партнеры,68471642,Лучшие сотрудники для компании!,,"""Тор и партнеры"" Подбор сотрудника за 5 дней. Без предоплаты! Скидки до 25%",30,,71,http://thor-hr.ru,,Москва и область,,"12,46","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341638,подбор персонала,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"8,14","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341642,подбор кадров,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"5,85","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341644,лучшие кадровые агентства,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341634,список кадровых агентств,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"3,05","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341629,вакансии кадровых агентств,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"1,02","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341645,кадровое агентство москва,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"3,56","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341635,адреса кадровых агентств,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"1,02","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341640,нанять специалиста,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341632,кадровое агентство подбор,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"8,39","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341639,кадровый центр москва,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"8,14","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341637,кадровый центр -москва,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"2,29","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341633,нанять менеджера,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341643,агентство +по подбору персонала -кадровый,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341641,кадровые агентства +по подбору персонала,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341630,нанять бухгалтера,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341636,нанять +на работу,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341631,кадровое агентство -адрес -подбор -москва -список -хороший -вакансия,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"14,24","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468472,Группа №68468472,6,-,558341646,нанять секретаря,68471722,Ищете кадровое агентство?,,Подбор персонала любой сложности. Консультация от опытных специалистов!,25,,69,http://thor-hr.ru,,Москва и область,,"0,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342881,подбор персонала,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"66,86","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342885,подбор кадров,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"18,31","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342887,лучшие кадровые агентства,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"4,07","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342873,вакансии кадровых агентств,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"25,17","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342888,кадровое агентство москва,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"20,85","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342879,адреса кадровых агентств,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"17,80","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342883,нанять специалиста,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"15,76","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342876,кадровое агентство подбор,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"10,68","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342882,кадровый центр москва,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"19,07","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,576400935,кадровый центр -москва,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"1,02","0,30",,Заархивировано,Приостановлена,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342877,нанять менеджера,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342886,агентство +по подбору персонала -кадровый,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"11,19","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342884,кадровые агентства +по подбору персонала,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"0,30","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342874,нанять бухгалтера,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342880,нанять +на работу,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"15,25","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
-,Текстово-графическое,-,68468631,Группа №68468631,7,-,558342889,нанять секретаря,68471881,Ищете кадровое агентство?,,"Услуги по подбору персонала. Качественно, оперативно, гарантия 100 дней!",25,,68,http://thor-hr.ru,,Москва,,"17,54","0,30",,Заархивировано,Работает везде,,,,,,,,,,,,,,,,,,,,,,,
