IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
486;Туфли Летняя Легкость;white;35.0;;100;29.06
392;Футболка Мужской Огонь;red;;M;100;11.32
642;Ремень Грубая Кожа;brown;;XS;100;10.39
361;Футболка Мужская Чистота;white;;L;100;11.62
195;Штаны Полосатый Рейс;brown;;XL;100;29.06
614;Ремень Элегантность;brown;;XL;100;10.61
320;Нижнее белье Интимный Вечер;black;;M;100;17.43
249;Штаны Цветочная Поляна;green;;XS;100;31.97
276;Платье Ночная Жизнь;black;;XS;100;65.4
436;Спортивный Костюм Элегантность в Ночи;black;;S;100;36.78
543;Туфли Ультра Лайн;flowers;35.0;;100;40.69
383;Футболка Женская Ночь;black;;M;100;11.03
552;Туфли Ультра Лайн;brown;36.0;;100;40.69
433;Спортивный Костюм Элегантность в Ночи;black;;XL;100;36.78
605;Ремень Класика;black;;XL;100;17.3
548;Туфли Ультра Лайн;flowers;39.0;;100;40.69
470;Домашние Тапочки Розовый Рай;pink;37.0;;100;17.43
325;Нижнее белье Ночь Морозных Узоров;black;;L;100;21.21
472;Домашние Тапочки Розовый Рай;pink;39.0;;100;17.43
415;Спортивный Костюм Огонь в Ночи;black;;L;100;36.33
235;Штаны Цветочная Поляна;white;;XS;100;31.97
184;Штаны Полосатый Рейс;purple;;S;100;29.06
419;Спортивный Костюм Огонь в Ночи;black;;M;100;36.33
348;Нижнее белье Розовое Смущенье;pink;;S;100;17.43
597;Ремень Радуга;green;;XS;100;5.67
463;Спортивный Костюм Вечерний Спорт;white;;S;100;39.24
527;Туфли Ультра Лайн;jeans;39.0;;100;40.69
228;Штаны Цветочная Поляна;purple;;XS;100;31.97
435;Спортивный Костюм Элегантность в Ночи;black;;M;100;36.78
285;Платье Красная Фея;red;;XS;100;58.13
518;Туфли Полет Валькирии;blue;39.0;;100;36.33
379;Футболка Женская Ночь;black;;L;100;11.03
621;Ремень Строчка;brown;;L;100;11.62
212;Штаны Жизнь в Абстракции;redblue;;XS;100;27.61
587;Ремень Радуга;brown;;L;100;5.67
219;Штаны Жизнь в Абстракции;orangered;;XS;99;27.61
182;Штаны Полосатый Рейс;purple;;XS;100;29.06
373;Футболка Женская Чистота;white;;XS;100;10.89
390;Футболка Мужской Огонь;red;;XL;100;11.32
452;Спортивный Костюм Дыхание Спорта;white;;XS;100;38.23
624;Ремень Строчка;brown;;XS;100;11.62
582;Ремень Радуга;blue;;XL;100;5.67
440;Спортивный Костюм Розовый Вихрь;pink;;L;100;37.36
236;Штаны Цветочная Поляна;white;;M;100;31.97
189;Штаны Полосатый Рейс;green;;XS;100;29.06
213;Штаны Жизнь в Абстракции;redblue;;M;100;27.61
546;Туфли Ультра Лайн;flowers;37.0;;100;40.69
643;Ремень Грубая Кожа;brown;;M;100;10.39
309;Нижнее белье Интимный Вечер;white;;L;100;15.98
227;Штаны Цветочная Поляна;purple;;XL;100;31.97
296;Нижнее белье Морская Волна;see;;S;100;18.88
623;Ремень Строчка;brown;;XL;100;11.62
191;Штаны Полосатый Рейс;green;;S;100;29.06
214;Штаны Жизнь в Абстракции;redblue;;S;100;27.61
352;Нижнее белье Ночь наступает;black;;L;100;22.66
580;Ремень Радуга;blue;;L;100;5.67
202;Штаны Полосатый Рейс;blue;;XL;100;29.06
343;Нижнее белье Розовое Смущенье;pink;;L;100;17.43
570;Ремень Радуга;see;;M;100;5.67
225;Штаны Цветочная Поляна;purple;;L;100;31.97
599;Ремень Радуга;green;;S;100;5.67
319;Нижнее белье Интимный Вечер;black;;XS;100;17.43
420;Спортивный Костюм Огонь в Ночи;black;;S;100;36.33
356;Нижнее белье Ночь наступает;black;;M;100;22.66
183;Штаны Полосатый Рейс;purple;;M;100;29.06
568;Ремень Радуга;see;;XL;100;5.67
316;Нижнее белье Интимный Вечер;black;;L;100;17.43
406;Спортивный Костюм Нежная Теплота;azure;;L;100;33.87
644;Ремень Грубая Кожа;brown;;S;100;10.39
641;Ремень Грубая Кожа;brown;;XL;100;10.39
639;Ремень Грубая Кожа;brown;;L;100;10.39
